Name,Ticker,Weight,Country,Sector
Koei Tecmo Holdings Co. Ltd.,None,0.0005750999999999999,None,None
Hubei Kaile Technology Co. Ltd. Class A,None,0.0005739300000000001,China,Information Technology
Covivio,None,0.0005724,None,None
Beijing Enlight Media Co. Ltd. Class A,None,0.00057213,China,Communication Services
Iss A/S,None,0.0005697,None,None
Emaar Malls PJSC,None,0.00056925,UAE,Real Estate
Pan Ocean Co. Ltd.,None,0.0005659200000000001,South Korea,Industrials
Glanbia plc,None,0.0005652000000000001,None,None
Wynn Macau Ltd.,None,0.0005652000000000001,None,None
Oppein Home Group Inc. Class A,None,0.0005615100000000001,China,Consumer Discretionary
Total Access Communication Public Co. Ltd. NVDR,None,0.0005606100000000001,Thailand,Communication Services
Sun Art Retail Group Ltd.,None,0.0005598,None,None
Bendigo & Adelaide Bank Ltd.,None,0.0005598,None,None
Xinyi Glass Holdings Ltd.,None,0.0005589000000000001,None,None
COMSYS Holdings Corp.,None,0.0005589000000000001,None,None
Demant A/S,None,0.0005589000000000001,None,None
Vitasoy International Holdings Ltd.,None,0.0005571,None,None
Kyowa Exeo Corp.,None,0.0005507999999999999,None,None
Sohgo Security Services Co. Ltd.,None,0.0005507999999999999,None,None
Nanjing Securities Co. Ltd. Class A,None,0.00055026,China,Financials
Hera SPA,None,0.0005499,None,None
Hengyi Petrochemical Co. Ltd. Class A,None,0.0005499,China,Materials
Kurita Water Industries Ltd.,None,0.0005490000000000001,None,None
Genting Singapore Ltd.,None,0.0005490000000000001,None,None
PearlAbyss Corp.,None,0.0005475600000000001,South Korea,Communication Services
Yuhan Corp.,None,0.0005463,None,None
Mizrahi Tefahot Bank Ltd.,None,0.0005463,None,None
Laobaixing Pharmacy Chain JSC Class A,None,0.0005459400000000001,China,Consumer Staples
NSK Ltd.,None,0.0005436000000000001,None,None
Avangrid Inc.,None,0.0005427,None,None
LINE Corp.,None,0.0005427,None,None
ENGIE SA COMMON STOCK,None,0.0005427,None,None
China Merchants Energy Shipping Co. Ltd. Class A,None,0.0005424300000000001,China,Energy
China Industrial Securities Co. Ltd. Class A,None,0.00053982,China,Financials
Elis SA,None,0.0005391,None,None
Nichirei Corp.,None,0.0005391,None,None
Iluka Resources Ltd.,None,0.0005382000000000001,None,None
Foxconn Industrial Internet Co. Ltd. Class A,None,0.0005372100000000001,China,Information Technology
China National Medicines Corporation Ltd. Class A,None,0.00053667,China,Health Care
Tokyu Fudosan Holdings Corp.,None,0.0005364,None,None
Konami Holdings Corp.,None,0.0005346000000000001,None,None
CTS Eventim AG & Co. KGaA,None,0.000531,None,None
Navinfo Co. Ltd. Class A,None,0.00053091,China,Consumer Discretionary
Jointown Pharmaceutical Group Co. Ltd. Class A,None,0.0005304600000000001,China,Health Care
Air Water Inc.,None,0.0005301,None,None
Turk Hava Yollari A.O.,None,0.0005301,Turkey,Industrials
El Sewedy Electric Company,None,0.0005283000000000001,Egypt,Industrials
Meggitt plc,None,0.0005274,None,None
Italgas SPA,None,0.0005274,None,None
Schibsted ASA Class B,None,0.0005265000000000001,None,None
Seiko Epson Corp.,None,0.0005238,None,None
Shandong Linglong Tyre Co. Ltd. Class A,None,0.0005228100000000001,China,Consumer Discretionary
Helvetia Holding AG,None,0.0005211,None,None
Luye Pharma Group Ltd.,None,0.0005206500000000001,China,Health Care
Financial Street Holdings Co. Ltd. Class A,None,0.0005205600000000001,China,Real Estate
Beijing Shiji Information Technology Co. Ltd. Class A,None,0.0005195700000000001,China,Information Technology
JDE Peet's BV,None,0.0005193000000000001,None,None
Iida Group Holdings Co. Ltd.,None,0.0005193000000000001,None,None
Daqin Railway Co. Ltd. Class A,None,0.0005175000000000002,China,Industrials
Jiangsu Yangnong Chemical Co. Ltd. Class A,None,0.00051687,China,Materials
Bank of Nanjing Co. Ltd. Class A,None,0.0005167800000000001,China,Financials
China Southern Airlines Company Limited Class A,None,0.00051525,China,Industrials
Sojitz Corp.,None,0.0005148,None,None
Tower Semiconductor Ltd.,None,0.0005148,None,None
Showa Denko KK,None,0.0005130000000000001,None,None
PCCW Ltd.,None,0.0005130000000000001,None,None
Telecom Italia SPA (Bearer),None,0.0005130000000000001,None,None
ANA Holdings Inc.,None,0.0005121,None,None
Ackermans & van Haaren NV,None,0.0005121,None,None
Lawson Inc.,None,0.0005094,None,None
Fukuoka Financial Group Inc.,None,0.0005094,None,None
Mitsubishi Gas Chemical Co. Inc.,None,0.0005085000000000001,None,None
Lotte Corp,None,0.0005063400000000001,South Korea,Industrials
AviChina Industry & Technology Co. Ltd. Class H,None,0.00050517,China,Industrials
Juneyao Airlines Co. Ltd. Class A,None,0.00050319,China,Industrials
DHC Software Co. Ltd. Class A,None,0.0005031,China,Information Technology
Hitachi Construction Machinery Co. Ltd.,None,0.0005022000000000002,None,None
Giant Network Group Co. Ltd. Class A,None,0.0005014800000000001,China,Communication Services
JGC Holdings Corp.,None,0.0005013000000000001,None,None
Aeroports de Paris,None,0.0004995,None,None
Shandong Hualu-Hengsheng Chemical Co. Ltd. Class A,None,0.00049905,China,Materials
Renishaw plc,None,0.0004986,None,None
Saab AB Class B,None,0.0004977000000000001,None,None
Wharf Holdings Ltd.,None,0.0004977000000000001,None,None
Yanzhou Coal Mining Co. Ltd. Class A,None,0.00049689,China,Energy
Swatch Group AG (Registered),None,0.0004968,None,None
Hakuhodo DY Holdings Inc.,None,0.0004968,None,None
OFILM Group Co. Ltd. Class A,None,0.0004966200000000001,China,Information Technology
Shanxi Meijin Energy Co. Ltd. Class A,None,0.0004962600000000001,China,Energy
Sushiro Global Holdings Ltd.,None,0.0004959000000000001,None,None
Shandong Buchang Pharmaceuticals Co. Ltd. Class A,None,0.0004959000000000001,China,Health Care
Zhejiang Weixing New Building Materials Co. Ltd. Class A,None,0.00049446,China,Industrials
Crown Resorts Ltd.,None,0.0004932000000000001,None,None
CanSino Biologics Inc. Class H,None,0.0004926599999999999,China,Health Care
Ryohin Keikaku Co. Ltd.,None,0.0004923,None,None
Caitong Securities Co. Ltd. Class A,None,0.00049149,China,Financials
Coca-Cola Bottlers Japan Holdings Inc.,None,0.0004914000000000001,None,None
Centrais Eletricas Brasileiras SA-Eletrobras,None,0.0004914000000000001,Brazil,Utilities
NOF Corp.,None,0.0004905,None,None
Huaan Securities Co. Ltd. Class A,None,0.00048645,China,Financials
Shanxi Securities Co. Ltd. Class A,None,0.00048636,China,Financials
MediPal Holdings Corp.,None,0.0004851,None,None
MCB Bank Limited,None,0.0004845600000000001,Pakistan,Financials
Skylark Holdings Co. Ltd.,None,0.00048420000000000006,None,None
Proximus SADP,None,0.00048240000000000007,None,None
