Holding name,% of funds,Market value,Shares
Capital One Financial Corp.,"=""0.10723%""","$27,708,787","434,307.00"
Johnson Controls International plc,"=""0.10670%""","$27,571,035","716,503.00"
Cummins Inc.,"=""0.10610%""","$27,416,830","141,865.00"
Twitter Inc.,"=""0.10503%""","$27,139,512","745,591.00"
IQVIA Holdings Inc.,"=""0.10481%""","$27,083,106","170,990.00"
AutoZone Inc.,"=""0.10433%""","$26,959,274","22,328.00"
Public Service Enterprise Group Inc.,"=""0.10428%""","$26,945,179","481,680.00"
American International Group Inc.,"=""0.10255%""","$26,499,366","824,498.00"
Zimmer Biomet Holdings Inc.,"=""0.10249%""","$26,483,807","196,380.00"
Kroger Co.,"=""0.10181%""","$26,306,841","756,161.00"
Yum! Brands Inc.,"=""0.10096%""","$26,088,101","286,525.00"
Kinder Morgan Inc.,"=""0.10073%""","$26,029,291","1,846,049.00"
EOG Resources Inc.,"=""0.10037%""","$25,934,708","553,569.00"
Phillips 66,"=""0.10028%""","$25,912,948","417,816.00"
Fastenal Co.,"=""0.09895%""","$25,569,721","543,574.00"
Willis Towers Watson plc,"=""0.09893%""","$25,563,047","121,723.00"
Sysco Corp.,"=""0.09890%""","$25,554,878","483,536.00"
American Water Works Co. Inc.,"=""0.09858%""","$25,473,734","172,973.00"
Trane Technologies plc,"=""0.09822%""","$25,381,177","226,881.00"
ANSYS Inc.,"=""0.09818%""","$25,370,429","81,682.00"
Xilinx Inc.,"=""0.09707%""","$25,082,220","233,649.00"
Aflac Inc.,"=""0.09506%""","$24,563,361","690,564.00"
Ford Motor Co.,"=""0.09485%""","$24,509,245","3,707,904.00"
Consolidated Edison Inc.,"=""0.09465%""","$24,457,140","318,328.00"
Otis Worldwide Corp.,"=""0.09356%""","$24,174,600","385,314.00"
PPG Industries Inc.,"=""0.09334%""","$24,118,875","224,049.00"
Cintas Corp.,"=""0.09331%""","$24,110,659","79,871.00"
Schlumberger Ltd.,"=""0.09308%""","$24,050,810","1,325,844.00"
HP Inc.,"=""0.09306%""","$24,047,295","1,367,878.00"
Prudential Financial Inc.,"=""0.09278%""","$23,975,342","378,339.00"
Rockwell Automation Inc.,"=""0.09248%""","$23,896,583","109,547.00"
Marathon Petroleum Corp.,"=""0.09159%""","$23,665,511","619,516.00"
Microchip Technology Inc.,"=""0.09141%""","$23,619,671","232,180.00"
Skyworks Solutions Inc.,"=""0.09042%""","$23,365,299","160,498.00"
McKesson Corp.,"=""0.08940%""","$23,099,713","153,834.00"
McCormick & Co. Inc./MD,"=""0.08888%""","$22,966,821","117,839.00"
Ball Corp.,"=""0.08834%""","$22,827,951","310,036.00"
Motorola Solutions Inc.,"=""0.08781%""","$22,688,841","162,295.00"
Archer-Daniels-Midland Co.,"=""0.08754%""","$22,619,208","528,116.00"
Corning Inc.,"=""0.08742%""","$22,588,925","728,675.00"
Church & Dwight Co. Inc.,"=""0.08686%""","$22,445,564","233,007.00"
Stanley Black & Decker Inc.,"=""0.08635%""","$22,312,813","145,531.00"
Williams Cos. Inc.,"=""0.08549%""","$22,091,649","1,154,817.00"
Valero Energy Corp.,"=""0.08468%""","$21,881,117","389,136.00"
Parker-Hannifin Corp.,"=""0.08432%""","$21,787,625","121,773.00"
Paychex Inc.,"=""0.08392%""","$21,685,462","301,522.00"
Marriott International Inc./MD Class A,"=""0.08342%""","$21,554,844","257,141.00"
State Street Corp.,"=""0.08336%""","$21,538,949","337,654.00"
Alexion Pharmaceuticals Inc.,"=""0.08318%""","$21,493,793","209,716.00"
Best Buy Co. Inc.,"=""0.08317%""","$21,490,924","215,794.00"
Mettler-Toledo International Inc.,"=""0.08310%""","$21,474,145","22,967.00"
Alexandria Real Estate Equities Inc.,"=""0.08260%""","$21,343,286","120,210.00"
Welltower Inc.,"=""0.08248%""","$21,311,738","397,904.00"
DTE Energy Co.,"=""0.08213%""","$21,221,574","183,530.00"
Carrier Global Corp.,"=""0.08120%""","$20,981,256","770,237.00"
DR Horton Inc.,"=""0.08119%""","$20,979,005","317,095.00"
Dollar Tree Inc.,"=""0.08101%""","$20,933,271","224,245.00"
FleetCor Technologies Inc.,"=""0.08063%""","$20,835,312","80,579.00"
VeriSign Inc.,"=""0.08022%""","$20,728,129","97,922.00"
TransDigm Group Inc.,"=""0.07978%""","$20,615,713","47,768.00"
AvalonBay Communities Inc.,"=""0.07934%""","$20,500,777","133,887.00"
Hershey Co.,"=""0.07919%""","$20,461,804","140,718.00"
Cerner Corp.,"=""0.07909%""","$20,436,288","294,259.00"
Kraft Heinz Co.,"=""0.07906%""","$20,427,943","594,181.00"
Corteva Inc.,"=""0.07839%""","$20,256,380","709,257.00"
AMETEK Inc.,"=""0.07817%""","$20,198,882","216,610.00"
Entergy Corp.,"=""0.07781%""","$20,106,007","191,249.00"
Align Technology Inc.,"=""0.07779%""","$20,100,520","68,411.00"
Edison International,"=""0.07758%""","$20,047,713","360,117.00"
Hilton Worldwide Holdings Inc.,"=""0.07723%""","$19,957,296","265,920.00"
Aptiv plc,"=""0.07686%""","$19,860,538","255,441.00"
Weyerhaeuser Co.,"=""0.07657%""","$19,785,564","711,455.00"
Fortive Corp.,"=""0.07606%""","$19,654,183","280,014.00"
Realty Income Corp.,"=""0.07605%""","$19,652,203","327,264.00"
PPL Corp.,"=""0.07541%""","$19,485,095","731,972.00"
Lennar Corp. Class A,"=""0.07422%""","$19,177,597","265,067.00"
Arthur J Gallagher & Co.,"=""0.07352%""","$18,997,030","176,733.00"
West Pharmaceutical Services Inc.,"=""0.07334%""","$18,949,689","70,479.00"
Ameren Corp.,"=""0.07318%""","$18,910,402","235,673.00"
Equifax Inc.,"=""0.07222%""","$18,661,238","114,796.00"
MarketAxess Holdings Inc.,"=""0.07189%""","$18,576,398","35,952.00"
VF Corp.,"=""0.07132%""","$18,427,968","305,301.00"
Copart Inc.,"=""0.07045%""","$18,205,477","195,233.00"
Simon Property Group Inc.,"=""0.07022%""","$18,144,910","291,017.00"
Ameriprise Financial Inc.,"=""0.06981%""","$18,039,081","117,419.00"
First Republic Bank/CA,"=""0.06956%""","$17,973,179","159,790.00"
Fortinet Inc.,"=""0.06933%""","$17,914,552","129,534.00"
Equity Residential,"=""0.06910%""","$17,855,840","332,945.00"
Take-Two Interactive Software Inc.,"=""0.06888%""","$17,799,122","108,518.00"
Keysight Technologies Inc.,"=""0.06882%""","$17,781,818","178,014.00"
Freeport-McMoRan Inc.,"=""0.06875%""","$17,765,646","1,375,050.00"
Laboratory Corp. of America Holdings,"=""0.06860%""","$17,725,875","91,882.00"
CMS Energy Corp.,"=""0.06783%""","$17,527,173","273,094.00"
Hologic Inc.,"=""0.06773%""","$17,500,336","250,793.00"
Maxim Integrated Products Inc.,"=""0.06759%""","$17,464,268","256,488.00"
Republic Services Inc. Class A,"=""0.06736%""","$17,406,288","199,499.00"
Conagra Brands Inc.,"=""0.06736%""","$17,406,947","464,805.00"
Akamai Technologies Inc.,"=""0.06664%""","$17,218,724","153,137.00"
Tyson Foods Inc. Class A,"=""0.06652%""","$17,188,855","279,721.00"
Incyte Corp.,"=""0.06554%""","$16,936,747","171,494.00"
Old Dominion Freight Line Inc.,"=""0.06439%""","$16,639,179","91,014.00"
Kellogg Co.,"=""0.06357%""","$16,426,795","238,104.00"
Teleflex Inc.,"=""0.06337%""","$16,375,359","43,890.00"
Quest Diagnostics Inc.,"=""0.06279%""","$16,223,789","127,676.00"
CDW Corp./DE,"=""0.06124%""","$15,824,531","136,125.00"
Tractor Supply Co.,"=""0.06106%""","$15,776,909","110,529.00"
Northern Trust Corp.,"=""0.06094%""","$15,745,843","200,968.00"
Citrix Systems Inc.,"=""0.06092%""","$15,740,575","110,259.00"
Kansas City Southern,"=""0.06065%""","$15,672,204","91,197.00"
Southwest Airlines Co.,"=""0.06064%""","$15,669,570","507,270.00"
Amcor plc,"=""0.06050%""","$15,632,279","1,517,697.00"
LyondellBasell Industries NV Class A,"=""0.05893%""","$15,227,184","243,557.00"
Pioneer Natural Resources Co.,"=""0.05887%""","$15,210,819","156,942.00"
Cardinal Health Inc.,"=""0.05859%""","$15,138,479","277,160.00"
CarMax Inc.,"=""0.05848%""","$15,111,902","155,841.00"
FirstEnergy Corp.,"=""0.05816%""","$15,029,714","518,266.00"
Vulcan Materials Co.,"=""0.05698%""","$14,722,942","125,387.00"
Broadridge Financial Solutions Inc.,"=""0.05655%""","$14,611,624","108,766.00"
Masco Corp.,"=""0.05634%""","$14,557,394","254,678.00"
Hartford Financial Services Group Inc.,"=""0.05597%""","$14,461,802","341,725.00"
Discover Financial Services,"=""0.05594%""","$14,454,617","292,426.00"
Domino's Pizza Inc.,"=""0.05558%""","$14,362,948","37,151.00"
Zebra Technologies Corp.,"=""0.05533%""","$14,296,352","50,922.00"
AmerisourceBergen Corp. Class A,"=""0.05527%""","$14,280,982","142,539.00"
Nasdaq Inc.,"=""0.05518%""","$14,259,478","108,594.00"
Dover Corp.,"=""0.05484%""","$14,169,344","137,660.00"
Duke Realty Corp.,"=""0.05465%""","$14,121,118","351,359.00"
WW Grainger Inc.,"=""0.05463%""","$14,117,484","41,336.00"
Qorvo Inc.,"=""0.05461%""","$14,112,262","110,123.00"
Evergy Inc.,"=""0.05417%""","$13,998,029","215,919.00"
Healthpeak Properties Inc.,"=""0.05415%""","$13,992,538","512,735.00"
Las Vegas Sands Corp.,"=""0.05414%""","$13,989,980","320,577.00"
CBRE Group Inc. Class A,"=""0.05385%""","$13,913,618","317,590.00"
Essex Property Trust Inc.,"=""0.05346%""","$13,814,351","62,582.00"
Expeditors International of Washington Inc.,"=""0.05274%""","$13,629,181","161,273.00"
Delta Air Lines Inc.,"=""0.05273%""","$13,625,130","545,660.00"
Ventas Inc.,"=""0.05254%""","$13,575,335","353,893.00"
Hormel Foods Corp.,"=""0.05252%""","$13,570,465","266,820.00"
Garmin Ltd.,"=""0.05237%""","$13,531,280","137,248.00"
Occidental Petroleum Corp.,"=""0.05227%""","$13,506,116","858,076.00"
Tyler Technologies Inc.,"=""0.05214%""","$13,473,684","37,715.00"
Arista Networks Inc.,"=""0.05181%""","$13,388,546","51,540.00"
Fifth Third Bancorp,"=""0.05170%""","$13,359,047","672,661.00"
ViacomCBS Inc. Class B,"=""0.05167%""","$13,350,238","512,092.00"
Cooper Cos. Inc.,"=""0.05142%""","$13,285,827","46,958.00"
Paycom Software Inc.,"=""0.05114%""","$13,213,821","46,467.00"
Jack Henry & Associates Inc.,"=""0.05046%""","$13,039,792","73,134.00"
