FTSE Emerging Markets UCITS ETF - (USD) Accumulating (VFEA)
As of 31 July 2020
Holding name,% of funds,Market value,Shares
Kingdee International Software Group Co. Ltd.,"=""0.10845%""","$2,258,677","818,000.00"
Sibanye Stillwater Ltd.,"=""0.10821%""","$2,253,548","796,164.00"
Ping An Healthcare and Technology Co. Ltd.,"=""0.10803%""","$2,249,888","131,700.00"
China Evergrande Group,"=""0.10713%""","$2,231,071","795,000.00"
Realtek Semiconductor Corp.,"=""0.10688%""","$2,225,945","174,120.00"
China National Building Material Co. Ltd. Class H,"=""0.10579%""","$2,203,248","1,420,600.00"
Taiwan Mobile Co. Ltd.,"=""0.10515%""","$2,190,002","611,000.00"
Notre Dame Intermedica Participacoes SA,"=""0.10503%""","$2,187,519","170,578.00"
Shimao Group Holdings Ltd.,"=""0.10502%""","$2,187,118","516,000.00"
Hengan International Group Co. Ltd.,"=""0.10478%""","$2,182,266","260,000.00"
CIMB Group Holdings Bhd.,"=""0.10406%""","$2,167,293","2,559,700.00"
China Shenhua Energy Co. Ltd. Class H,"=""0.10262%""","$2,137,163","1,282,000.00"
Shandong Weigao Group Medical Polymer Co. Ltd. Class H,"=""0.10252%""","$2,135,171","840,000.00"
Li Ning Co. Ltd.,"=""0.10223%""","$2,129,146","661,375.00"
Yihai International Holding Ltd.,"=""0.10177%""","$2,119,474","173,000.00"
CITIC Securities Co. Ltd. Class H,"=""0.10070%""","$2,097,241","901,000.00"
Novatek Microelectronics Corp.,"=""0.09982%""","$2,078,889","210,000.00"
Bharat Petroleum Corp. Ltd.,"=""0.09896%""","$2,061,005","372,617.00"
SM Prime Holdings Inc.,"=""0.09865%""","$2,054,488","3,365,525.00"
Lojas Americanas SA Preference Shares,"=""0.09864%""","$2,054,326","313,619.00"
Rosneft Oil Co. PJSC,"=""0.09856%""","$2,052,595","427,288.00"
58.com Inc. ADR,"=""0.09841%""","$2,049,521","37,015.00"
Banco do Brasil SA,"=""0.09728%""","$2,026,101","314,100.00"
Bid Corp. Ltd.,"=""0.09638%""","$2,007,292","121,773.00"
Raia Drogasil SA,"=""0.09626%""","$2,004,843","84,100.00"
Catcher Technology Co. Ltd.,"=""0.09594%""","$1,998,191","271,000.00"
Localiza Rent a Car SA,"=""0.09584%""","$1,996,100","204,071.00"
Ayala Land Inc.,"=""0.09560%""","$1,991,007","2,938,320.00"
HDFC Life Insurance Co. Ltd.,"=""0.09519%""","$1,982,571","236,519.00"
President Chain Store Corp.,"=""0.09500%""","$1,978,528","207,000.00"
PICC Property & Casualty Co. Ltd. Class H,"=""0.09400%""","$1,957,776","2,479,274.00"
Yageo Corp.,"=""0.09309%""","$1,938,726","146,000.00"
Chailease Holding Co. Ltd.,"=""0.09300%""","$1,936,884","463,184.00"
Commercial International Bank Egypt SAE,"=""0.09273%""","$1,931,179","485,684.00"
Asustek Computer Inc.,"=""0.09155%""","$1,906,740","258,000.00"
Huazhu Group Ltd. ADR,"=""0.09125%""","$1,900,337","55,355.00"
Postal Savings Bank of China Co. Ltd. Class H,"=""0.09100%""","$1,895,280","3,440,000.00"
Nestle India Ltd.,"=""0.08991%""","$1,872,571","8,479.00"
Qatar Islamic Bank SAQ,"=""0.08978%""","$1,869,886","422,873.00"
Autohome Inc. ADR,"=""0.08964%""","$1,866,945","21,300.00"
Jiangsu Hengrui Medicine Co. Ltd. Class A,"=""0.08880%""","$1,849,306","136,714.00"
Siam Commercial Bank PCL (Foreign),"=""0.08723%""","$1,816,676","845,500.00"
Banco Bradesco SA,"=""0.08663%""","$1,804,193","453,076.00"
Wipro Ltd.,"=""0.08663%""","$1,804,224","480,436.00"
