Fund Name:,SPDR® MSCI Emerging Markets UCITS ETF,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
ISIN:,IE00B469F816,,,,,,,,
Ticker Symbol:,SPYM GY,,,,,,,,
Holdings As Of:,27-Aug-2020,,,,,,,,
,,,,,,,,,
ISIN,SEDOL,Security Name,Currency,Number of Shares,Percent Of Fund,Trade Country Name,Local Price,Sector Classification,Industry Classification
KR7081660003,B66CTX7,FILA Holdings Corp.,KRW,3802,0.027017,South Korea,35750.000,Consumer Discretionary,Textiles Apparel & Luxury Goods
INE775A01035,6743990,Motherson Sumi Systems Limited,INR,72445,0.027014,India,116.850,Consumer Discretionary,Auto Components
HU0000153937,BD5ZXH8,MOL Hungarian Oil & Gas Plc Class A,HUF,20434,0.026896,Hungary,1690.000,Energy,Oil Gas & Consumable Fuels
HK0363006039,6810010,Shanghai Industrial Holdings Limited,HKD,74000,0.026855,China,11.940,Industrials,Industrial Conglomerates
MYL4197OO009,B29TTR1,Sime Darby Bhd.,MYR,216931,0.026820,Malaysia,2.190,Industrials,Industrial Conglomerates
ZAE000030912,6350260,Northam Platinum Limited,ZAR,12524,0.026733,South Africa,154.120,Materials,Metals & Mining
PLBZ00000044,7153639,Santander Bank Polska SA,PLN,2722,0.026638,Poland,155.500,Financials,Banks
KYG826001003,B27WLD2,SOHO China Ltd.,HKD,357500,0.026621,China,2.450,Real Estate,Real Estate Management & Development
INE323A01026,B01NFV3,Bosch Limited,INR,589,0.026575,India,14138.550,Consumer Discretionary,Auto Components
TW0002345006,6005214,Accton Technology Corp.,TWD,14000,0.026517,Taiwan,236.000,Information Technology,Communications Equipment
CNE100001TQ9,BW4NKK8,GF Securities Co. Ltd. Class H,HKD,95200,0.026504,China,9.160,Financials,Capital Markets
INE376G01013,6741251,Biocon Limited,INR,21099,0.026330,India,391.050,Health Care,Biotechnology
BRCOGNACNOR2,BHNWPB7,Cogna Educacao S.A.,BRL,102453,0.026157,Brazil,6.070,Consumer Discretionary,Diversified Consumer Services
MYL4065OO008,6681669,PPB Group Bhd.,MYR,23960,0.026052,Malaysia,19.260,Consumer Staples,Food Products
TW0009910000,6336055,Feng Tay Enterprise Co. Ltd.,TWD,18480,0.025955,Taiwan,175.000,Consumer Discretionary,Textiles Apparel & Luxury Goods
TW0006669005,BF4QXG5,Wiwynn Corp.,TWD,4000,0.025843,Taiwan,805.000,Information Technology,Technology Hardware Storage & Peripherals
TRASAHOL91Q5,B03N0C7,Haci Omer Sabanci Holding A.S.,TRY,100351,0.025824,Turkey,8.050,Financials,Diversified Financial Services
PHY0005M1090,B1Z9Q99,Aboitiz Power Corp.,PHP,202600,0.025807,Philippines,26.300,Utilities,Independent Power And Renewable Electricity Producers
TH0016010R14,6364766,Kasikornbank Public Co. Ltd. NVDR,THB,39800,0.025666,Thailand,85.500,Financials,Banks
CNE000001P37,BP3R217,Industrial and Commercial Bank of China Limited Class A,CNY,150200,0.025558,China,4.970,Financials,Banks
CNE000000SM3,BP3R5Y1,China Spacesat Co. Ltd. Class A,CNY,19300,0.025460,China,38.530,Industrials,Aerospace & Defense
TRATUPRS91E8,B03MYT9,Turkiye Petrol Rafinerileri A.S.,TRY,9501,0.025407,Turkey,83.650,Energy,Oil Gas & Consumable Fuels
TH0221010R10,B0H72C9,BTS Group Holdings Public Co. Ltd. NVDR,THB,317700,0.025161,Thailand,10.500,Industrials,Road & Rail
SA000A0KFKK0,B1C1NH5,Sahara International Petrochemical Company,SAR,24706,0.025138,Saudi Arabia,16.200,Materials,Chemicals
CNE100000601,BP3R552,COSCO SHIPPING Holdings Co. Ltd. Class A,CNY,139600,0.024997,China,5.230,Industrials,Marine
TW0002492006,6089694,Walsin Technology Corporation,TWD,19000,0.024856,Taiwan,163.000,Information Technology,Electronic Equipment Instruments & Components
KR7032640005,6290902,LG Uplus Corp,KRW,10323,0.024828,South Korea,12100.000,Communication Services,Diversified Telecommunication Services
BRCSANACNOR6,B0P72G5,Cosan S.A.,BRL,7104,0.024776,Brazil,82.920,Energy,Oil Gas & Consumable Fuels
US44842L1035,BYXV9H7,Hutchison China Meditech Ltd Sponsored ADR,USD,3100,0.024521,China,33.580,Health Care,Pharmaceuticals
KYG989221000,B734XQ4,Zhen Ding Technology Holding Limited,TWD,24000,0.024174,Taiwan,125.500,Information Technology,Electronic Equipment Instruments & Components
CNE000001JN8,BD5CL19,Hualan Biological Engineering Inc. Class A,CNY,12350,0.024152,China,57.120,Health Care,Biotechnology
TH0375010Z14,BYM8V06,True Corp. Public Co. Ltd.(Alien Mkt),THB,1239672,0.024124,Thailand,2.580,Communication Services,Diversified Telecommunication Services
MYL4863OO006,6868398,Telekom Malaysia Bhd.,MYR,103144,0.024048,Malaysia,4.130,Communication Services,Diversified Telecommunication Services
