FTSE Developed World UCITS ETF - (USD) Distributing (VDEV)
As of 31 August 2020
Holding name,% of funds,Market value,Shares
Air Products & Chemicals Inc.,"=""0.13421%""","$979,656","3,352.00"
Cigna Corp.,"=""0.13374%""","$976,244","5,504.00"
T-Mobile US Inc.,"=""0.13347%""","$974,278","8,350.00"
Activision Blizzard Inc.,"=""0.13216%""","$964,740","11,551.00"
Reckitt Benckiser Group plc,"=""0.13157%""","$960,402","9,551.00"
CME Group Inc.,"=""0.13001%""","$948,995","5,396.00"
Illinois Tool Works Inc.,"=""0.12952%""","$945,474","4,786.00"
Royal Dutch Shell plc Class A,"=""0.12771%""","$932,206","62,904.00"
Regeneron Pharmaceuticals Inc.,"=""0.12450%""","$908,817","1,466.00"
Automatic Data Processing Inc.,"=""0.12446%""","$908,536","6,532.00"
Duke Energy Corp.,"=""0.12265%""","$895,309","11,144.00"
adidas AG,"=""0.12226%""","$892,457","2,931.00"
CSX Corp.,"=""0.12140%""","$886,171","11,590.00"
Marsh & McLennan Cos. Inc.,"=""0.12061%""","$880,440","7,662.00"
Morgan Stanley,"=""0.12033%""","$878,386","16,808.00"
Square Inc.,"=""0.12005%""","$876,304","5,492.00"
Boston Scientific Corp.,"=""0.11996%""","$875,654","21,347.00"
Intercontinental Exchange Inc.,"=""0.11949%""","$872,255","8,211.00"
Takeda Pharmaceutical Co. Ltd.,"=""0.11865%""","$866,130","23,200.00"
Deutsche Telekom AG,"=""0.11859%""","$865,643","49,072.00"
Daiichi Sankyo Co. Ltd.,"=""0.11838%""","$864,123","9,700.00"
Applied Materials Inc.,"=""0.11759%""","$858,396","13,935.00"
Nintendo Co. Ltd.,"=""0.11728%""","$856,089","1,600.00"
Chubb Ltd.,"=""0.11715%""","$855,125","6,841.00"
Progressive Corp.,"=""0.11562%""","$843,955","8,880.00"
Fiserv Inc.,"=""0.11544%""","$842,646","8,462.00"
General Electric Co.,"=""0.11523%""","$841,140","132,672.00"
Sherwin-Williams Co.,"=""0.11510%""","$840,155","1,252.00"
Basf Se,"=""0.11509%""","$840,135","13,758.00"
Zurich Insurance Group AG,"=""0.11484%""","$838,292","2,260.00"
Southern Co.,"=""0.11468%""","$837,124","16,043.00"
Humana Inc.,"=""0.11432%""","$834,492","2,010.00"
