FTSE All-World UCITS ETF - (USD) Distributing (VWRD)
As of 31 July 2020
Holding name,% of funds,Market value,Shares
General Electric Co.,"=""0.10473%""","$6,279,051","1,034,440.00"
Progressive Corp.,"=""0.10442%""","$6,260,652","69,301.00"
CSX Corp.,"=""0.10405%""","$6,238,184","87,443.00"
KDDI Corp.,"=""0.10390%""","$6,229,489","202,100.00"
Global Payments Inc.,"=""0.10386%""","$6,226,962","34,979.00"
Kimberly-Clark Corp.,"=""0.10290%""","$6,169,175","40,576.00"
Intercontinental Exchange Inc.,"=""0.10283%""","$6,165,176","63,703.00"
MercadoLibre Inc.,"=""0.10197%""","$6,113,434","5,436.00"
Autodesk Inc.,"=""0.10197%""","$6,113,371","25,857.00"
Humana Inc.,"=""0.10184%""","$6,105,737","15,558.00"
Barrick Gold Corp.,"=""0.10132%""","$6,074,768","210,208.00"
Basf Se,"=""0.10094%""","$6,051,946","109,334.00"
Northrop Grumman Corp.,"=""0.10079%""","$6,042,911","18,593.00"
Truist Financial Corp.,"=""0.09999%""","$5,994,686","160,029.00"
US Bancorp,"=""0.09931%""","$5,953,970","161,617.00"
Royal Dutch Shell plc Class B,"=""0.09809%""","$5,881,166","414,590.00"
Bank of Nova Scotia,"=""0.09806%""","$5,879,520","143,167.00"
Norfolk Southern Corp.,"=""0.09801%""","$5,876,244","30,572.00"
Edwards Lifesciences Corp.,"=""0.09569%""","$5,737,103","73,168.00"
Dollar General Corp.,"=""0.09428%""","$5,652,405","29,687.00"
Aon plc Class A,"=""0.09379%""","$5,623,438","27,402.00"
Lonza Group AG,"=""0.09341%""","$5,600,369","8,960.00"
Square Inc.,"=""0.09317%""","$5,586,277","43,021.00"
Infosys Ltd.,"=""0.09244%""","$5,542,093","429,211.00"
Koninklijke Philips NV,"=""0.09223%""","$5,529,781","106,547.00"
Shin-Etsu Chemical Co. Ltd.,"=""0.09198%""","$5,514,636","47,500.00"
Mitsubishi UFJ Financial Group Inc.,"=""0.09167%""","$5,496,172","1,477,900.00"
Waste Management Inc.,"=""0.09084%""","$5,446,134","49,691.00"
PNC Financial Services Group Inc.,"=""0.09044%""","$5,422,356","50,833.00"
Ecolab Inc.,"=""0.09040%""","$5,419,895","28,971.00"
Daikin Industries Ltd.,"=""0.09023%""","$5,409,534","31,000.00"
Nintendo Co. Ltd.,"=""0.09011%""","$5,402,554","12,300.00"
Industrial & Commercial Bank of China Ltd. Class H,"=""0.08989%""","$5,389,487","9,120,000.00"
Ping An Insurance Group Co. of China Ltd.,"=""0.08958%""","$5,370,790","507,000.00"
Anheuser-Busch InBev SA/NV,"=""0.08943%""","$5,361,850","98,316.00"
Moody's Corp.,"=""0.08917%""","$5,346,106","19,005.00"
BHP Group plc,"=""0.08882%""","$5,325,248","245,156.00"
Biogen Inc.,"=""0.08872%""","$5,319,097","19,364.00"
Brookfield Asset Management Inc. Class A,"=""0.08815%""","$5,284,857","163,640.00"
Adyen NV,"=""0.08770%""","$5,258,041","3,138.00"
Roper Technologies Inc.,"=""0.08764%""","$5,254,700","12,151.00"
Westpac Banking Corp.,"=""0.08733%""","$5,236,134","427,227.00"
BNP Paribas SA,"=""0.08709%""","$5,221,294","129,429.00"
ABB Ltd.,"=""0.08690%""","$5,210,243","208,158.00"
Baxter International Inc.,"=""0.08611%""","$5,162,501","59,765.00"
Estee Lauder Cos. Inc. Class A,"=""0.08595%""","$5,153,226","26,087.00"
American Electric Power Co. Inc.,"=""0.08551%""","$5,126,789","59,010.00"
Samsung Electronics Co. Ltd. Preference Shares,"=""0.08512%""","$5,103,145","122,826.00"
Analog Devices Inc.,"=""0.08481%""","$5,084,869","44,274.00"
Digital Realty Trust Inc.,"=""0.08458%""","$5,071,298","31,589.00"
Kering SA,"=""0.08397%""","$5,034,168","8,837.00"
TC Energy Corp.,"=""0.08323%""","$4,990,330","109,493.00"
Prosus NV,"=""0.08193%""","$4,912,121","50,597.00"
FedEx Corp.,"=""0.08145%""","$4,883,432","28,999.00"
Honda Motor Co. Ltd.,"=""0.08142%""","$4,881,850","204,500.00"
Uber Technologies Inc.,"=""0.08138%""","$4,879,455","161,251.00"
National Grid plc,"=""0.08076%""","$4,842,205","409,740.00"
L'Oreal SA,"=""0.08045%""","$4,823,274","14,413.00"
Electronic Arts Inc.,"=""0.08039%""","$4,819,612","34,032.00"
Airbus SE,"=""0.08036%""","$4,818,159","65,708.00"
Housing Development Finance Corp. Ltd.,"=""0.08026%""","$4,811,914","202,021.00"
Danone SA,"=""0.08008%""","$4,800,979","71,808.00"
National Australia Bank Ltd.,"=""0.07989%""","$4,789,613","378,181.00"
Vinci SA,"=""0.07985%""","$4,787,587","55,614.00"
Vodafone Group plc,"=""0.07984%""","$4,786,817","3,156,022.00"
ConocoPhillips,"=""0.07977%""","$4,782,443","127,907.00"
Deutsche Post AG,"=""0.07970%""","$4,778,281","117,946.00"
Tokyo Electron Ltd.,"=""0.07951%""","$4,766,859","17,500.00"
Air Liquide SA,"=""0.07946%""","$4,763,957","28,859.00"
DexCom Inc.,"=""0.07856%""","$4,710,365","10,815.00"
UBS Group AG,"=""0.07841%""","$4,700,945","399,855.00"
Recruit Holdings Co. Ltd.,"=""0.07793%""","$4,672,594","151,173.00"
RELX plc,"=""0.07774%""","$4,660,938","219,888.00"
DuPont de Nemours Inc.,"=""0.07766%""","$4,656,343","87,067.00"
Vale SA,"=""0.07646%""","$4,584,271","393,095.00"
EssilorLuxottica SA,"=""0.07636%""","$4,578,268","34,507.00"
Givaudan SA,"=""0.07627%""","$4,572,569","1,106.00"
Axa SA,"=""0.07611%""","$4,563,235","228,829.00"
Wesfarmers Ltd.,"=""0.07582%""","$4,546,109","136,179.00"
