FTSE All-World High Dividend Yield UCITS ETF (USD)   Distributing (VHYL)

Holding details 
As at date 31 July 2020


Holding name,% of funds,Market value,Shares,
"=""Tohoku Electric Power Co. Inc.""","=""0.02465%""","=""$266,860""","=""28,300""",
"=""Hongkong Land Holdings Ltd.""","=""0.02465%""","=""$266,816""","=""70,400""",
"=""Yageo Corp.""","=""0.02453%""","=""$265,579""","=""20,000""",
"=""T&D Holdings Inc.""","=""0.02451%""","=""$265,275""","=""32,500""",
"=""BIM Birlesik Magazalar AS""","=""0.02449%""","=""$265,131""","=""25,899""",
"=""Chailease Holding Co. Ltd.""","=""0.02446%""","=""$264,817""","=""63,328""",
"=""Sino Land Co. Ltd.""","=""0.02440%""","=""$264,125""","=""218,000""",
"=""Orion Oyj Class B""","=""0.02437%""","=""$263,751""","=""6,025""",
"=""Atlas Arteria Ltd.""","=""0.02426%""","=""$262,621""","=""55,485""",
"=""ASR Nederland NV""","=""0.02420%""","=""$261,935""","=""8,105""",
"=""Securitas AB Class B""","=""0.02418%""","=""$261,729""","=""17,530""",
"=""People's United Financial Inc.""","=""0.02416%""","=""$261,560""","=""24,241""",
"=""Old Republic International Corp.""","=""0.02416%""","=""$261,523""","=""16,274""",
"=""Lenovo Group Ltd.""","=""0.02416%""","=""$261,513""","=""434,000""",
"=""Anglo American Platinum Ltd.""","=""0.02404%""","=""$260,230""","=""3,398""",
"=""Phoenix Group Holdings plc""","=""0.02404%""","=""$260,223""","=""30,104""",
"=""Polski Koncern Naftowy ORLEN SA""","=""0.02401%""","=""$259,943""","=""18,206""",
"=""Win Semiconductors Corp.""","=""0.02399%""","=""$259,707""","=""24,000""",
"=""Pegatron Corp.""","=""0.02393%""","=""$259,062""","=""123,000""",
"=""Saudi Arabian Fertilizer Co.""","=""0.02380%""","=""$257,601""","=""12,386""",
"=""Vodacom Group Ltd.""","=""0.02379%""","=""$257,505""","=""34,143""",
"=""OMV AG""","=""0.02358%""","=""$255,236""","=""8,078""",
"=""Advantech Co. Ltd.""","=""0.02358%""","=""$255,221""","=""24,196""",
"=""Banque Saudi Fransi""","=""0.02357%""","=""$255,106""","=""31,733""",
"=""DXC Technology Co.""","=""0.02356%""","=""$255,020""","=""14,239""",
"=""JSR Corp.""","=""0.02341%""","=""$253,455""","=""11,800""",
"=""Sydney Airport""","=""0.02341%""","=""$253,401""","=""67,561""",
"=""Lundin Energy AB""","=""0.02340%""","=""$253,339""","=""10,950""",
"=""Powszechny Zaklad Ubezpieczen SA""","=""0.02339%""","=""$253,210""","=""34,970""",
"=""Sasol Ltd.""","=""0.02338%""","=""$253,083""","=""31,633""",
"=""DS Smith plc""","=""0.02336%""","=""$252,888""","=""73,766""",
"=""Renault SA""","=""0.02335%""","=""$252,731""","=""10,657""",
"=""China Telecom Corp. Ltd. Class H""","=""0.02329%""","=""$252,156""","=""846,000""",
"=""Henderson Land Development Co. Ltd.""","=""0.02324%""","=""$251,518""","=""67,102""",
"=""Oil Search Ltd.""","=""0.02322%""","=""$251,308""","=""120,009""",
"=""Xinyi Solar Holdings Ltd.""","=""0.02317%""","=""$250,783""","=""229,200""",
"=""Banco de Chile""","=""0.02310%""","=""$250,026""","=""2,603,774""",
"=""Shimizu Corp.""","=""0.02305%""","=""$249,545""","=""34,900""",
"=""Power Grid Corp. of India Ltd.""","=""0.02304%""","=""$249,409""","=""104,649""",
"=""Electrolux AB Class B""","=""0.02300%""","=""$248,947""","=""13,269""",
"=""Industries Qatar QSC""","=""0.02287%""","=""$247,588""","=""115,277""",
"=""Isuzu Motors Ltd.""","=""0.02283%""","=""$247,128""","=""30,400""",
"=""Schroders plc""","=""0.02283%""","=""$247,114""","=""6,350""",
"=""Want Want China Holdings Ltd.""","=""0.02281%""","=""$246,938""","=""334,000""",
"=""Rubis SCA""","=""0.02274%""","=""$246,187""","=""5,210""",
"=""Fuchs Petrolub SE Preference Shares""","=""0.02265%""","=""$245,194""","=""5,589""",
"=""SK Telecom Co. Ltd.""","=""0.02257%""","=""$244,301""","=""1,320""",
"=""Amundi SA""","=""0.02247%""","=""$243,235""","=""3,199""",
"=""Accton Technology Corp.""","=""0.02244%""","=""$242,861""","=""31,000""",
"=""Yamaha Motor Co. Ltd.""","=""0.02240%""","=""$242,452""","=""16,700""",
"=""Targa Resources Corp.""","=""0.02216%""","=""$239,852""","=""13,121""",
"=""Wartsila OYJ Abp""","=""0.02211%""","=""$239,325""","=""28,586""",
"=""Delta Air Lines Inc.""","=""0.02210%""","=""$239,238""","=""9,581""",
"=""MDU Resources Group Inc.""","=""0.02209%""","=""$239,109""","=""11,397""",
"=""Bellway plc""","=""0.02199%""","=""$238,057""","=""7,124""",
"=""Magnit PJSC""","=""0.02198%""","=""$237,934""","=""3,874""",
"=""Poste Italiane SPA""","=""0.02194%""","=""$237,547""","=""25,914""",
"=""Weir Group plc""","=""0.02192%""","=""$237,288""","=""15,110""",
"=""Petronas Chemicals Group Bhd.""","=""0.02188%""","=""$236,851""","=""162,500""",
"=""China Jinmao Holdings Group Ltd.""","=""0.02186%""","=""$236,634""","=""348,000""",
"=""Siam Cement PCL NVDR""","=""0.02184%""","=""$236,434""","=""19,300""",
"=""HollyFrontier Corp.""","=""0.02182%""","=""$236,253""","=""8,591""",
"=""Unione di Banche Italiane SPA""","=""0.02169%""","=""$234,832""","=""55,565""",
"=""Tate & Lyle plc""","=""0.02163%""","=""$234,128""","=""27,393""",
"=""Kyushu Electric Power Co. Inc.""","=""0.02163%""","=""$234,106""","=""28,000""",
"=""Meridian Energy Ltd.""","=""0.02143%""","=""$231,924""","=""71,637""",
"=""New China Life Insurance Co. Ltd. Class H""","=""0.02138%""","=""$231,447""","=""59,200""",
"=""Scor Se""","=""0.02131%""","=""$230,718""","=""8,950""",
"=""Inter Pipeline Ltd.""","=""0.02130%""","=""$230,528""","=""24,605""",
"=""J Sainsbury plc""","=""0.02130%""","=""$230,582""","=""93,872""",
"=""Alinma Bank""","=""0.02125%""","=""$229,989""","=""58,837""",
"=""SinoPac Financial Holdings Co. Ltd.""","=""0.02122%""","=""$229,671""","=""631,747""",
"=""Harley-Davidson Inc.""","=""0.02115%""","=""$228,934""","=""8,795""",
"=""Masraf Al Rayan QSC""","=""0.02114%""","=""$228,869""","=""211,608""",
"=""Trelleborg AB Class B""","=""0.02109%""","=""$228,257""","=""14,746""",
"=""Zijin Mining Group Co. Ltd. Class H""","=""0.02098%""","=""$227,150""","=""366,000""",
"=""China Minsheng Banking Corp. Ltd. Class H""","=""0.02097%""","=""$227,005""","=""360,520""",
"=""Jbs SA""","=""0.02083%""","=""$225,504""","=""54,500""",
"=""Lite-On Technology Corp.""","=""0.02059%""","=""$222,856""","=""131,622""",
"=""Mobile TeleSystems PJSC""","=""0.02055%""","=""$222,438""","=""50,637""",
"=""Norsk Hydro ASA""","=""0.02054%""","=""$222,379""","=""79,486""",
"=""Uniper SE""","=""0.02053%""","=""$222,196""","=""6,400""",
"=""TechnipFMC plc""","=""0.02051%""","=""$222,043""","=""28,442""",
"=""Husqvarna AB""","=""0.02049%""","=""$221,786""","=""23,225""",
"=""Surgutneftegas OAO Preference Shares""","=""0.02048%""","=""$221,709""","=""439,700""",
"=""Woori Financial Group Inc.""","=""0.02039%""","=""$220,669""","=""30,930""",
"=""Signify NV""","=""0.02029%""","=""$219,637""","=""7,327""",
"=""Brother Industries Ltd.""","=""0.02027%""","=""$219,453""","=""14,200""",
"=""Clariant AG""","=""0.02024%""","=""$219,098""","=""11,588""",
"=""Metso Outotec Oyj""","=""0.02017%""","=""$218,376""","=""33,577""",
"=""BB Seguridade Participacoes SA""","=""0.02010%""","=""$217,581""","=""40,700""",
"=""DiGi.Com Bhd.""","=""0.02008%""","=""$217,311""","=""216,800""",
"=""JB Hi-Fi Ltd.""","=""0.01998%""","=""$216,263""","=""6,603""",
"=""Chugoku Electric Power Co. Inc.""","=""0.01992%""","=""$215,621""","=""17,700""",
"=""Jefferies Financial Group Inc.""","=""0.01991%""","=""$215,476""","=""13,301""",
"=""ICA Gruppen AB""","=""0.01983%""","=""$214,662""","=""4,358""",
"=""Haitong Securities Co. Ltd. Class H""","=""0.01977%""","=""$214,044""","=""230,400""",
"=""PTT Exploration & Production PCL (Foreign)""","=""0.01971%""","=""$213,328""","=""73,100""",
"=""Southern Copper Corp.""","=""0.01970%""","=""$213,217""","=""4,878""",
"=""Tingyi Cayman Islands Holding Corp.""","=""0.01962%""","=""$212,402""","=""114,000""",
"=""Tapestry Inc.""","=""0.01960%""","=""$212,210""","=""15,884""",
"=""Travis Perkins plc""","=""0.01952%""","=""$211,267""","=""14,521""",
"=""Tosoh Corp.""","=""0.01949%""","=""$211,005""","=""15,800""",
"=""Industrial Bank Co. Ltd. Class A""","=""0.01949%""","=""$210,977""","=""94,000""",
"=""Mobile Telecommunications Co. KSC""","=""0.01945%""","=""$210,562""","=""116,900""",
"=""IMI plc""","=""0.01943%""","=""$210,292""","=""15,347""",
"=""Gree Electric Appliances Inc. of Zhuhai Class A""","=""0.01929%""","=""$208,807""","=""25,600""",
"=""Far Eastern New Century Corp.""","=""0.01927%""","=""$208,564""","=""238,663""",
"=""AMP Ltd.""","=""0.01925%""","=""$208,373""","=""198,332""",
"=""Home Product Center PCL""","=""0.01923%""","=""$208,117""","=""416,000""",
"=""Centrica plc""","=""0.01922%""","=""$208,077""","=""325,067""",
"=""ASM Pacific Technology Ltd.""","=""0.01916%""","=""$207,450""","=""18,459""",
"=""Quilter plc""","=""0.01909%""","=""$206,674""","=""107,632""",
"=""Koninklijke Vopak NV""","=""0.01908%""","=""$206,520""","=""3,768""",
"=""Tryg A/S""","=""0.01905%""","=""$206,231""","=""6,980""",
"=""Invesco Ltd.""","=""0.01903%""","=""$206,001""","=""20,518""",
"=""Formosa Petrochemical Corp.""","=""0.01902%""","=""$205,875""","=""74,000""",
"=""Bankinter SA""","=""0.01902%""","=""$205,875""","=""39,731""",
"=""Abu Dhabi Commercial Bank PJSC""","=""0.01901%""","=""$205,734""","=""150,536""",
"=""Gjensidige Forsikring ASA""","=""0.01896%""","=""$205,251""","=""9,997""",
"=""Singapore Technologies Engineering Ltd.""","=""0.01894%""","=""$205,075""","=""86,000""",
"=""Rexel SA""","=""0.01891%""","=""$204,664""","=""17,332""",
"=""Unum Group""","=""0.01890%""","=""$204,572""","=""11,873""",
"=""Guangzhou Automobile Group Co. Ltd. Class H""","=""0.01887%""","=""$204,224""","=""213,600""",
"=""Maxis Bhd.""","=""0.01885%""","=""$204,000""","=""163,200""",
"=""Centrais Eletricas Brasileiras SA Preference Shares""","=""0.01883%""","=""$203,853""","=""27,600""",
"=""Israel Discount Bank Ltd. Class A""","=""0.01867%""","=""$202,052""","=""66,547""",
"=""CIFI Holdings Group Co. Ltd.""","=""0.01858%""","=""$201,161""","=""224,000""",
"=""Kuraray Co. Ltd.""","=""0.01848%""","=""$200,095""","=""20,500""",
"=""Tokyo Century Corp.""","=""0.01846%""","=""$199,868""","=""3,600""",
"=""Polyus PJSC""","=""0.01843%""","=""$199,480""","=""873""",
"=""Nippon Express Co. Ltd.""","=""0.01839%""","=""$199,016""","=""4,200""",
"=""USS Co. Ltd.""","=""0.01839%""","=""$199,105""","=""13,400""",
"=""ABN AMRO Bank NV""","=""0.01830%""","=""$198,062""","=""23,846""",
"=""Coway Co. Ltd.""","=""0.01826%""","=""$197,705""","=""3,071""",
"=""Canadian Utilities Ltd. Class A""","=""0.01825%""","=""$197,592""","=""7,703""",
"=""Ralph Lauren Corp. Class A""","=""0.01818%""","=""$196,788""","=""2,760""",
"=""Ansell Ltd.""","=""0.01813%""","=""$196,220""","=""7,116""",
"=""JFE Holdings Inc.""","=""0.01811%""","=""$196,020""","=""30,300""",
"=""Hero MotoCorp Ltd.""","=""0.01811%""","=""$196,017""","=""5,479""",
"=""Concordia Financial Group Ltd.""","=""0.01804%""","=""$195,313""","=""66,400""",
"=""Genting Singapore Ltd.""","=""0.01802%""","=""$195,046""","=""363,900""",
"=""Venture Corp. Ltd.""","=""0.01797%""","=""$194,494""","=""14,900""",
"=""Hellenic Telecommunications Organization SA""","=""0.01793%""","=""$194,122""","=""13,133""",
"=""Huatai Securities Co. Ltd. Class H""","=""0.01792%""","=""$194,008""","=""107,400""",
"=""Mitsui Chemicals Inc.""","=""0.01788%""","=""$193,523""","=""10,200""",
"=""Mazda Motor Corp.""","=""0.01776%""","=""$192,286""","=""34,400""",
"=""Haseko Corp.""","=""0.01770%""","=""$191,629""","=""16,300""",
"=""China Resources Cement Holdings Ltd.""","=""0.01769%""","=""$191,479""","=""140,000""",
"=""Shizuoka Bank Ltd.""","=""0.01769%""","=""$191,492""","=""29,600""",
"=""Absa Group Ltd.""","=""0.01766%""","=""$191,152""","=""41,058""",
"=""Engie SA""","=""0.01763%""","=""$190,818""","=""14,293""",
"=""Nokian Renkaat Oyj""","=""0.01759%""","=""$190,367""","=""7,907""",
"=""Giant Manufacturing Co. Ltd.""","=""0.01751%""","=""$189,558""","=""18,000""",
"=""Asia Cement Corp.""","=""0.01747%""","=""$189,153""","=""138,702""",
"=""Great Wall Motor Co. Ltd. Class H""","=""0.01737%""","=""$188,024""","=""192,500""",
"=""Marui Group Co. Ltd.""","=""0.01730%""","=""$187,260""","=""13,000""",
"=""Globalwafers Co. Ltd.""","=""0.01728%""","=""$187,049""","=""13,000""",
"=""Coca-Cola Amatil Ltd.""","=""0.01726%""","=""$186,859""","=""31,853""",
"=""Telefonica Brasil SA Preference Shares""","=""0.01723%""","=""$186,477""","=""18,438""",
"=""Ccr SA""","=""0.01711%""","=""$185,231""","=""64,457""",
"=""LIXIL Group Corp.""","=""0.01708%""","=""$184,843""","=""13,900""",
"=""Italgas SPA""","=""0.01690%""","=""$182,987""","=""28,446""",
"=""Sodexo SA""","=""0.01686%""","=""$182,490""","=""2,648""",
"=""MISC Bhd.""","=""0.01685%""","=""$182,363""","=""98,000""",
"=""Helvetia Holding AG""","=""0.01683%""","=""$182,205""","=""2,014""",
"=""Cogna Educacao""","=""0.01680%""","=""$181,906""","=""114,368""",
"=""Arab National Bank""","=""0.01666%""","=""$180,396""","=""34,874""",
"=""Singapore Airlines Ltd.""","=""0.01652%""","=""$178,869""","=""71,720""",
"=""Compal Electronics Inc.""","=""0.01635%""","=""$176,985""","=""278,000""",
"=""Shanghai Pudong Development Bank Co. Ltd. Class A""","=""0.01624%""","=""$175,777""","=""118,382""",
"=""Aspen Pharmacare Holdings Ltd.""","=""0.01622%""","=""$175,607""","=""22,579""",
"=""Saudi Electricity Co.""","=""0.01621%""","=""$175,505""","=""41,978""",
"=""CGN Power Co. Ltd. Class H""","=""0.01620%""","=""$175,405""","=""834,000""",
"=""Mitsubishi Gas Chemical Co. Inc.""","=""0.01617%""","=""$175,009""","=""11,100""",
"=""China Everbright International Ltd.""","=""0.01613%""","=""$174,564""","=""282,444""",
"=""Teijin Ltd.""","=""0.01606%""","=""$173,838""","=""12,100""",
"=""Xerox Holdings Corp.""","=""0.01605%""","=""$173,776""","=""10,437""",
"=""Boral Ltd.""","=""0.01604%""","=""$173,644""","=""67,446""",
"=""Proximus SADP""","=""0.01594%""","=""$172,560""","=""8,334""",
"=""Wistron Corp.""","=""0.01593%""","=""$172,444""","=""146,425""",
"=""Tenaris SA""","=""0.01587%""","=""$171,738""","=""29,447""",
"=""Chiba Bank Ltd.""","=""0.01583%""","=""$171,410""","=""37,600""",
"=""Shoprite Holdings Ltd.""","=""0.01582%""","=""$171,285""","=""27,893""",
"=""Oil & Natural Gas Corp. Ltd.""","=""0.01580%""","=""$171,031""","=""163,413""",
"=""Kasikornbank PCL (Foreign)""","=""0.01579%""","=""$170,923""","=""65,800""",
"=""Kohl's Corp.""","=""0.01575%""","=""$170,541""","=""8,957""",
"=""Hera SPA""","=""0.01571%""","=""$170,110""","=""43,939""",
"=""Sinopharm Group Co. Ltd. Class H""","=""0.01567%""","=""$169,589""","=""71,200""",
"=""China Unicom Hong Kong Ltd.""","=""0.01565%""","=""$169,451""","=""304,000""",
"=""PTT Global Chemical PCL""","=""0.01561%""","=""$168,963""","=""112,100""",
"=""Faurecia SE""","=""0.01560%""","=""$168,871""","=""4,342""",
"=""Bank of East Asia Ltd.""","=""0.01556%""","=""$168,429""","=""74,000""",
"=""ALS Ltd.""","=""0.01554%""","=""$168,210""","=""27,627""",
"=""AK Transneft OAO Preference Shares""","=""0.01543%""","=""$166,985""","=""92""",
"=""Zhen Ding Technology Holding Ltd.""","=""0.01533%""","=""$165,901""","=""36,000""",
"=""Fosun International Ltd.""","=""0.01531%""","=""$165,772""","=""145,500""",
"=""China Everbright Bank Co. Ltd. Class A""","=""0.01529%""","=""$165,508""","=""305,500""",
"=""Banque Cantonale Vaudoise""","=""0.01528%""","=""$165,374""","=""1,572""",
"=""Cez As""","=""0.01525%""","=""$165,071""","=""8,213""",
"=""Georg Fischer AG""","=""0.01521%""","=""$164,695""","=""179""",
"=""MultiChoice Group""","=""0.01519%""","=""$164,405""","=""26,524""",
"=""Iss A/S""","=""0.01518%""","=""$164,347""","=""10,652""",
"=""Iluka Resources Ltd.""","=""0.01514%""","=""$163,930""","=""25,258""",
"=""NSK Ltd.""","=""0.01511%""","=""$163,530""","=""24,700""",
"=""Showa Denko KK""","=""0.01502%""","=""$162,588""","=""7,900""",
"=""Inventec Corp.""","=""0.01498%""","=""$162,146""","=""190,000""",
"=""Bidvest Group Ltd.""","=""0.01495%""","=""$161,871""","=""20,895""",
"=""Seiko Epson Corp.""","=""0.01495%""","=""$161,822""","=""15,400""",
"=""Intouch Holdings PCL""","=""0.01493%""","=""$161,610""","=""88,800""",
"=""Samsung Life Insurance Co. Ltd.""","=""0.01487%""","=""$160,921""","=""4,032""",
"=""voestalpine AG""","=""0.01485%""","=""$160,792""","=""7,254""",
"=""Alumina Ltd.""","=""0.01479%""","=""$160,145""","=""146,913""",
"=""Petrobras Distribuidora SA""","=""0.01473%""","=""$159,416""","=""36,559""",
"=""Far EasTone Telecommunications Co. Ltd.""","=""0.01472%""","=""$159,395""","=""74,000""",
"=""CK Infrastructure Holdings Ltd.""","=""0.01469%""","=""$158,989""","=""30,500""",
"=""Polyus PJSC GDR""","=""0.01462%""","=""$158,239""","=""1,382""",
"=""ENGIE SA COMMON STOCK""","=""0.01462%""","=""$158,309""","=""11,858""",
"=""Wharf Holdings Ltd.""","=""0.01443%""","=""$156,218""","=""92,000""",
"=""ITV plc""","=""0.01438%""","=""$155,647""","=""209,224""",
"=""G4S plc""","=""0.01435%""","=""$155,318""","=""83,307""",
"=""Mirae Asset Daewoo Co. Ltd.""","=""0.01425%""","=""$154,257""","=""23,293""",
"=""Kunlun Energy Co. Ltd.""","=""0.01421%""","=""$153,844""","=""184,000""",
"=""Inter RAO UES PJSC""","=""0.01421%""","=""$153,861""","=""1,977,722""",
"=""Mizrahi Tefahot Bank Ltd.""","=""0.01421%""","=""$153,783""","=""7,451""",
"=""Grupo Aeroportuario del Pacifico SAB de CV Class B""","=""0.01417%""","=""$153,403""","=""22,700""",
"=""Yanbu National Petrochemical Co.""","=""0.01410%""","=""$152,676""","=""11,054""",
"=""Avangrid Inc.""","=""0.01409%""","=""$152,507""","=""3,063""",
"=""People's Insurance Co. Group of China Ltd. Class H""","=""0.01409%""","=""$152,497""","=""469,000""",
"=""Contact Energy Ltd.""","=""0.01408%""","=""$152,372""","=""39,167""",
"=""PCCW Ltd.""","=""0.01406%""","=""$152,241""","=""270,000""",
"=""Meggitt plc""","=""0.01405%""","=""$152,124""","=""43,119""",
"=""Electric Power Development Co. Ltd.""","=""0.01404%""","=""$152,010""","=""11,200""",
"=""Electricite de France SA""","=""0.01397%""","=""$151,180""","=""14,953""",
"=""China Vanke Co. Ltd. Class A""","=""0.01386%""","=""$150,021""","=""38,999""",
"=""Incitec Pivot Ltd.""","=""0.01381%""","=""$149,519""","=""113,003""",
"=""SES SA Class A""","=""0.01376%""","=""$148,903""","=""21,001""",
"=""Salmar ASA""","=""0.01368%""","=""$148,084""","=""3,115""",
"=""Ultrapar Participacoes SA""","=""0.01365%""","=""$147,713""","=""40,600""",
"=""Beijing Enterprises Water Group Ltd.""","=""0.01365%""","=""$147,728""","=""348,000""",
"=""Kingboard Holdings Ltd.""","=""0.01363%""","=""$147,587""","=""50,500""",
"=""Bendigo & Adelaide Bank Ltd.""","=""0.01361%""","=""$147,319""","=""29,858""",
"=""Mitsubishi Materials Corp.""","=""0.01351%""","=""$146,206""","=""7,200""",
"=""Fukuoka Financial Group Inc.""","=""0.01351%""","=""$146,251""","=""10,100""",
"=""China Communications Construction Co. Ltd. Class H""","=""0.01349%""","=""$146,062""","=""251,000""",
"=""MOL Hungarian Oil & Gas plc""","=""0.01346%""","=""$145,743""","=""24,725""",
"=""Flughafen Zurich AG""","=""0.01342%""","=""$145,251""","=""1,149""",
"=""Lawson Inc.""","=""0.01330%""","=""$143,999""","=""2,900""",
"=""Telecom Italia SPA (Bearer)""","=""0.01324%""","=""$143,336""","=""357,775""",
"=""Eclat Textile Co. Ltd.""","=""0.01322%""","=""$143,150""","=""12,120""",
"=""Industrivarden AB Class C""","=""0.01316%""","=""$142,473""","=""5,797""",
"=""Severstal PAO""","=""0.01314%""","=""$142,292""","=""11,617""",
"=""NGK Insulators Ltd.""","=""0.01313%""","=""$142,159""","=""11,500""",
"=""PLDT Inc.""","=""0.01312%""","=""$142,060""","=""5,210""",
"=""China Galaxy Securities Co. Ltd. Class H""","=""0.01311%""","=""$141,883""","=""237,500""",
"=""Electricite de France SA""","=""0.01309%""","=""$141,667""","=""14,012""",
"=""TIM Participacoes SA""","=""0.01305%""","=""$141,290""","=""46,700""",
"=""Brilliance China Automotive Holdings Ltd.""","=""0.01304%""","=""$141,202""","=""138,000""",
"=""Wynn Macau Ltd.""","=""0.01295%""","=""$140,177""","=""80,000""",
"=""Ovintiv Inc.""","=""0.01292%""","=""$139,807""","=""14,428""",
"=""Moscow Exchange MICEX-RTS PJSC""","=""0.01288%""","=""$139,474""","=""77,813""",
"=""China Longyuan Power Group Corp. Ltd. Class H""","=""0.01283%""","=""$138,925""","=""194,000""",
"=""Turkcell Iletisim Hizmetleri AS""","=""0.01277%""","=""$138,187""","=""64,904""",
"=""Emaar Properties PJSC""","=""0.01273%""","=""$137,812""","=""196,966""",
"=""China Yangtze Power Co. Ltd. Class A""","=""0.01260%""","=""$136,379""","=""51,799""",
"=""Ashmore Group plc""","=""0.01259%""","=""$136,232""","=""26,587""",
"=""Bank Negara Indonesia Persero Tbk PT""","=""0.01255%""","=""$135,826""","=""431,100""",
"=""Vedanta Ltd.""","=""0.01254%""","=""$135,778""","=""89,261""",
"=""DKSH Holding AG""","=""0.01253%""","=""$135,675""","=""2,108""",
"=""Nikon Corp.""","=""0.01251%""","=""$135,373""","=""19,500""",
"=""Interconexion Electrica SA ESP""","=""0.01248%""","=""$135,052""","=""26,225""",
"=""Banco BPM SPA""","=""0.01248%""","=""$135,147""","=""89,921""",
"=""NTPC Ltd.""","=""0.01246%""","=""$134,864""","=""115,971""",
"=""Wiwynn Corp.""","=""0.01236%""","=""$133,814""","=""5,000""",
"=""Sojitz Corp.""","=""0.01232%""","=""$133,357""","=""63,800""",
"=""China Railway Group Ltd. Class H""","=""0.01229%""","=""$133,024""","=""263,000""",
"=""Feng TAY Enterprise Co. Ltd.""","=""0.01229%""","=""$132,998""","=""22,200""",
"=""Kawasaki Heavy Industries Ltd.""","=""0.01228%""","=""$132,916""","=""9,800""",
"=""Hyundai Heavy Industries Holdings Co. Ltd.""","=""0.01227%""","=""$132,800""","=""669""",
"=""Mercury NZ Ltd.""","=""0.01227%""","=""$132,774""","=""42,680""",
"=""AusNet Services""","=""0.01226%""","=""$132,724""","=""103,973""",
"=""Hysan Development Co. Ltd.""","=""0.01224%""","=""$132,539""","=""48,000""",
"=""Sinotruk Hong Kong Ltd.""","=""0.01223%""","=""$132,432""","=""42,500""",
"=""Pou Chen Corp.""","=""0.01222%""","=""$132,322""","=""146,000""",
"=""Japan Post Bank Co. Ltd.""","=""0.01222%""","=""$132,326""","=""17,800""",
"=""Synnex Technology International Corp.""","=""0.01222%""","=""$132,247""","=""88,450""",
"=""Polskie Gornictwo Naftowe i Gazownictwo SA""","=""0.01220%""","=""$132,093""","=""96,312""",
"=""Xinyi Glass Holdings Ltd.""","=""0.01219%""","=""$131,919""","=""90,000""",
"=""A2A Spa""","=""0.01216%""","=""$131,655""","=""91,748""",
"=""Marks & Spencer Group plc""","=""0.01213%""","=""$131,309""","=""105,333""",
"=""Petronas Gas Bhd.""","=""0.01208%""","=""$130,755""","=""33,000""",
"=""Enel Chile SA""","=""0.01205%""","=""$130,466""","=""1,519,209""",
"=""Fuyao Glass Industry Group Co. Ltd. Class A""","=""0.01202%""","=""$130,091""","=""37,200""",
"=""Indian Oil Corp. Ltd.""","=""0.01200%""","=""$129,874""","=""109,850""",
"=""Coal India Ltd.""","=""0.01193%""","=""$129,099""","=""74,725""",
"=""Andritz AG""","=""0.01192%""","=""$129,086""","=""3,833""",
"=""International Container Terminal Services Inc.""","=""0.01191%""","=""$128,931""","=""65,660""",
"=""China Minsheng Banking Corp. Ltd. Class A""","=""0.01191%""","=""$128,947""","=""162,400""",
"=""Banco Santander Chile""","=""0.01186%""","=""$128,423""","=""2,949,985""",
"=""United Tractors Tbk PT""","=""0.01166%""","=""$126,199""","=""86,300""",
"=""Minth Group Ltd.""","=""0.01156%""","=""$125,184""","=""42,000""",
"=""Exxaro Resources Ltd.""","=""0.01150%""","=""$124,435""","=""15,772""",
"=""ComfortDelGro Corp. Ltd.""","=""0.01150%""","=""$124,466""","=""125,500""",
"=""Unimicron Technology Corp.""","=""0.01136%""","=""$122,917""","=""56,000""",
"=""Foxconn Technology Co. Ltd.""","=""0.01133%""","=""$122,611""","=""66,270""",
"=""Cencosud SA""","=""0.01130%""","=""$122,342""","=""70,204""",
"=""Turkiye Garanti Bankasi AS""","=""0.01130%""","=""$122,347""","=""121,641""",
"=""Hong Leong Bank Bhd.""","=""0.01128%""","=""$122,052""","=""34,500""",
"=""Akbank T.A.S.""","=""0.01122%""","=""$121,488""","=""161,818""",
"=""Alrosa PJSC""","=""0.01119%""","=""$121,161""","=""131,630""",
"=""Hypera SA""","=""0.01115%""","=""$120,728""","=""17,400""",
"=""Bharti Infratel Ltd.""","=""0.01105%""","=""$119,591""","=""46,574""",
"=""Inchcape plc""","=""0.01097%""","=""$118,732""","=""21,077""",
"=""Nedbank Group Ltd.""","=""0.01096%""","=""$118,692""","=""19,253""",
"=""Remgro Ltd.""","=""0.01094%""","=""$118,453""","=""21,823""",
"=""Raiffeisen Bank International AG""","=""0.01089%""","=""$117,840""","=""6,849""",
"=""Commercial Bank PSQC""","=""0.01087%""","=""$117,643""","=""103,714""",
"=""SPAR Group Ltd.""","=""0.01084%""","=""$117,301""","=""12,106""",
"=""Novolipetsk Steel PJSC""","=""0.01083%""","=""$117,201""","=""59,795""",
"=""Deutsche Lufthansa AG""","=""0.01082%""","=""$117,131""","=""13,246""",
"=""China State Construction Engineering Corp. Ltd. Class A""","=""0.01081%""","=""$117,004""","=""162,300""",
"=""Swire Properties Ltd.""","=""0.01080%""","=""$116,867""","=""50,600""",
"=""Qatar Electricity & Water Co. QSC""","=""0.01077%""","=""$116,597""","=""25,120""",
"=""Indofood Sukses Makmur Tbk PT""","=""0.01071%""","=""$115,967""","=""262,500""",
"=""China Cinda Asset Management Co. Ltd. Class H""","=""0.01067%""","=""$115,478""","=""613,000""",
"=""Nanya Technology Corp.""","=""0.01065%""","=""$115,302""","=""55,738""",
"=""Bank Polska Kasa Opieki SA""","=""0.01063%""","=""$115,090""","=""8,491""",
