FTSE All-World High Dividend Yield UCITS ETF (USD)   Distributing (VHYL)

Holding details 
As at date 31 July 2020


Holding name,% of funds,Market value,Shares,
"=""Canadian Imperial Bank of Commerce""","=""0.16116%""","=""$1,744,529""","=""25,200""",
"=""Dow Inc.""","=""0.15959%""","=""$1,727,517""","=""42,073""",
"=""Sberbank of Russia PJSC""","=""0.15912%""","=""$1,722,447""","=""578,063""",
"=""Volkswagen AG Preference Shares""","=""0.15849%""","=""$1,715,660""","=""11,607""",
"=""Anglo American plc""","=""0.15820%""","=""$1,712,453""","=""69,764""",
"=""WEC Energy Group Inc.""","=""0.15675%""","=""$1,696,771""","=""17,812""",
"=""Walgreens Boots Alliance Inc.""","=""0.15599%""","=""$1,688,610""","=""41,479""",
"=""ITOCHU Corp.""","=""0.15574%""","=""$1,685,898""","=""77,500""",
"=""MetLife Inc.""","=""0.15225%""","=""$1,648,065""","=""43,542""",
"=""PACCAR Inc.""","=""0.15074%""","=""$1,631,749""","=""19,179""",
"=""Nippon Telegraph & Telephone Corp.""","=""0.15020%""","=""$1,625,888""","=""70,352""",
"=""Johnson Controls International plc""","=""0.14976%""","=""$1,621,162""","=""42,130""",
"=""Bank of New York Mellon Corp.""","=""0.14958%""","=""$1,619,237""","=""45,167""",
"=""Cummins Inc.""","=""0.14927%""","=""$1,615,847""","=""8,361""",
"=""Macquarie Group Ltd.""","=""0.14887%""","=""$1,611,542""","=""18,197""",
"=""Lukoil Pjsc""","=""0.14819%""","=""$1,604,094""","=""23,420""",
"=""Public Service Enterprise Group Inc.""","=""0.14723%""","=""$1,593,731""","=""28,490""",
"=""Industria de Diseno Textil SA""","=""0.14685%""","=""$1,589,645""","=""59,694""",
"=""Intesa Sanpaolo SPA (Registered)""","=""0.14677%""","=""$1,588,733""","=""786,983""",
"=""American International Group Inc.""","=""0.14504%""","=""$1,570,039""","=""48,850""",
"=""Tata Consultancy Services Ltd.""","=""0.14463%""","=""$1,565,639""","=""51,341""",
