Holding name,% of funds,Market value,Shares
Aon plc Class A,"=""0.10461%""","$642,133","3,129.00"
Mitsubishi UFJ Financial Group Inc.,"=""0.10390%""","$637,792","171,500.00"
Ecolab Inc.,"=""0.10365%""","$636,259","3,401.00"
Square Inc.,"=""0.10350%""","$635,356","4,893.00"
Waste Management Inc.,"=""0.10240%""","$628,556","5,735.00"
Shin-Etsu Chemical Co. Ltd.,"=""0.10213%""","$626,927","5,400.00"
Moody's Corp.,"=""0.10205%""","$626,455","2,227.00"
Lonza Group AG,"=""0.10203%""","$626,291","1,002.00"
Anheuser-Busch InBev SA/NV,"=""0.10043%""","$616,485","11,304.00"
Nintendo Co. Ltd.,"=""0.10017%""","$614,925","1,400.00"
Roper Technologies Inc.,"=""0.10011%""","$614,511","1,421.00"
Brookfield Asset Management Inc. Class A,"=""0.10009%""","$614,392","19,024.00"
Biogen Inc.,"=""0.10006%""","$614,207","2,236.00"
PNC Financial Services Group Inc.,"=""0.09992%""","$613,352","5,750.00"
ABB Ltd.,"=""0.09964%""","$611,614","24,435.00"
BHP Group plc,"=""0.09962%""","$611,492","28,151.00"
Westpac Banking Corp.,"=""0.09931%""","$609,594","49,738.00"
Adyen NV,"=""0.09881%""","$606,568",362.00
Estee Lauder Cos. Inc. Class A,"=""0.09812%""","$602,299","3,049.00"
Baxter International Inc.,"=""0.09795%""","$601,291","6,961.00"
L'Oreal SA,"=""0.09753%""","$598,684","1,789.00"
BNP Paribas SA,"=""0.09650%""","$592,367","14,684.00"
American Electric Power Co. Inc.,"=""0.09645%""","$592,087","6,815.00"
Digital Realty Trust Inc.,"=""0.09601%""","$589,342","3,671.00"
Kering SA,"=""0.09466%""","$581,063","1,020.00"
TC Energy Corp.,"=""0.09411%""","$577,685","12,675.00"
Prosus NV,"=""0.09358%""","$574,442","5,917.00"
Air Liquide SA,"=""0.09353%""","$574,138","3,478.00"
Analog Devices Inc.,"=""0.09299%""","$570,804","4,970.00"
National Grid plc,"=""0.09263%""","$568,611","48,115.00"
Uber Technologies Inc.,"=""0.09221%""","$566,013","18,705.00"
Vodafone Group plc,"=""0.09108%""","$559,094","368,619.00"
National Australia Bank Ltd.,"=""0.09097%""","$558,419","44,092.00"
ConocoPhillips,"=""0.09062%""","$556,251","14,877.00"
Electronic Arts Inc.,"=""0.09039%""","$554,867","3,918.00"
Airbus SE,"=""0.08996%""","$552,224","7,531.00"
Honda Motor Co. Ltd.,"=""0.08983%""","$551,446","23,100.00"
FedEx Corp.,"=""0.08982%""","$551,342","3,274.00"
DexCom Inc.,"=""0.08954%""","$549,651","1,262.00"
Tokyo Electron Ltd.,"=""0.08875%""","$544,784","2,000.00"
Danone SA,"=""0.08846%""","$543,025","8,122.00"
UBS Group AG,"=""0.08831%""","$542,110","46,111.00"
Vinci SA,"=""0.08813%""","$540,964","6,284.00"
RELX plc,"=""0.08764%""","$537,955","25,379.00"
Deutsche Post AG,"=""0.08735%""","$536,182","13,235.00"
Recruit Holdings Co. Ltd.,"=""0.08711%""","$534,724","17,300.00"
DuPont de Nemours Inc.,"=""0.08672%""","$532,340","9,954.00"
EssilorLuxottica SA,"=""0.08600%""","$527,920","3,979.00"
Charles Schwab Corp.,"=""0.08586%""","$527,052","15,899.00"
General Mills Inc.,"=""0.08566%""","$525,837","8,311.00"
Givaudan SA,"=""0.08486%""","$520,926",126.00
Axa SA,"=""0.08440%""","$518,105","25,981.00"
DocuSign Inc. Class A,"=""0.08421%""","$516,923","2,384.00"
Nidec Corp.,"=""0.08388%""","$514,873","6,500.00"
Prudential plc,"=""0.08368%""","$513,643","35,400.00"
General Dynamics Corp.,"=""0.08348%""","$512,416","3,492.00"
Exelon Corp.,"=""0.08306%""","$509,845","13,205.00"
Lululemon Athletica Inc.,"=""0.08301%""","$509,548","1,565.00"
Wesfarmers Ltd.,"=""0.08296%""","$509,263","15,255.00"
Centene Corp.,"=""0.08288%""","$508,754","7,797.00"
Samsung Electronics Co. Ltd. Preference Shares,"=""0.08203%""","$503,517","12,119.00"
Canadian Pacific Railway Ltd.,"=""0.08198%""","$503,260","1,830.00"
Eaton Corp. plc,"=""0.08179%""","$502,064","5,391.00"
eBay Inc.,"=""0.08159%""","$500,837","9,060.00"
Cognizant Technology Solutions Corp. Class A,"=""0.08153%""","$500,444","7,325.00"
Pernod Ricard SA,"=""0.08148%""","$500,153","2,897.00"
Xcel Energy Inc.,"=""0.08147%""","$500,126","7,244.00"
Emerson Electric Co.,"=""0.08125%""","$498,746","8,043.00"
L3Harris Technologies Inc.,"=""0.08114%""","$498,088","2,959.00"
Muenchener Rueckversicherungs-Gesellschaft AG in Muenchen,"=""0.08094%""","$496,829","1,869.00"
Sempra Energy,"=""0.08055%""","$494,480","3,973.00"
Australia & New Zealand Banking Group Ltd.,"=""0.07998%""","$490,947","38,117.00"
Murata Manufacturing Co. Ltd.,"=""0.07943%""","$487,565","7,800.00"
SK Hynix Inc.,"=""0.07933%""","$486,973","7,007.00"
Daimler AG,"=""0.07914%""","$485,773","10,984.00"
Twilio Inc. Class A,"=""0.07913%""","$485,762","1,751.00"
Veeva Systems Inc. Class A,"=""0.07870%""","$483,105","1,826.00"
Hoya Corp.,"=""0.07867%""","$482,909","4,900.00"
London Stock Exchange Group plc,"=""0.07844%""","$481,488","4,324.00"
Vonovia SE,"=""0.07837%""","$481,091","7,373.00"
Woolworths Group Ltd.,"=""0.07813%""","$479,614","17,290.00"
O'Reilly Automotive Inc.,"=""0.07792%""","$478,335","1,002.00"
Bank of Montreal,"=""0.07742%""","$475,240","8,687.00"
Banco Santander SA,"=""0.07739%""","$475,084","222,140.00"
Sumitomo Mitsui Financial Group Inc.,"=""0.07722%""","$474,038","17,900.00"
SBA Communications Corp. Class A,"=""0.07628%""","$468,245","1,503.00"
Safran SA,"=""0.07617%""","$467,577","4,421.00"
Kao Corp.,"=""0.07530%""","$462,219","6,400.00"
IDEXX Laboratories Inc.,"=""0.07490%""","$459,799","1,156.00"
HCA Healthcare Inc.,"=""0.07470%""","$458,563","3,621.00"
Spotify Technology SA,"=""0.07463%""","$458,146","1,777.00"
Deutsche Boerse AG,"=""0.07442%""","$456,853","2,499.00"
NAVER Corp.,"=""0.07417%""","$455,264","1,802.00"
Splunk Inc.,"=""0.07380%""","$453,001","2,159.00"
FANUC Corp.,"=""0.07365%""","$452,128","2,700.00"
Telefonaktiebolaget LM Ericsson Class B,"=""0.07321%""","$449,383","38,982.00"
NXP Semiconductors NV,"=""0.07308%""","$448,612","3,817.00"
CoStar Group Inc.,"=""0.07212%""","$442,725",521.00
Infineon Technologies AG,"=""0.07194%""","$441,632","17,675.00"
Chipotle Mexican Grill Inc. Class A,"=""0.07132%""","$437,806",379.00
Experian plc,"=""0.07093%""","$435,401","12,392.00"
Cie Financiere Richemont SA,"=""0.07087%""","$435,007","7,004.00"
Koninklijke Ahold Delhaize NV,"=""0.07083%""","$434,760","15,025.00"
IHS Markit Ltd.,"=""0.07047%""","$432,551","5,358.00"
Ross Stores Inc.,"=""0.07034%""","$431,761","4,815.00"
General Motors Co.,"=""0.06999%""","$429,651","17,262.00"
NTT DOCOMO Inc.,"=""0.06988%""","$428,989","15,600.00"
Workday Inc. Class A,"=""0.06938%""","$425,886","2,354.00"
Kone Oyj Class B,"=""0.06934%""","$425,624","5,353.00"
T. Rowe Price Group Inc.,"=""0.06916%""","$424,519","3,074.00"
MSCI Inc. Class A,"=""0.06909%""","$424,105","1,128.00"
Amphenol Corp. Class A,"=""0.06888%""","$422,828","3,998.00"
KLA Corp.,"=""0.06885%""","$422,640","2,115.00"
Mizuho Financial Group Inc.,"=""0.06861%""","$421,190","349,000.00"
SMC Corp./Japan,"=""0.06788%""","$416,684",800.00
Canadian Imperial Bank of Commerce,"=""0.06770%""","$415,572","6,003.00"
Sika AG,"=""0.06750%""","$414,356","1,880.00"
Public Storage,"=""0.06737%""","$413,552","2,069.00"
Eversource Energy,"=""0.06719%""","$412,431","4,579.00"
IQVIA Holdings Inc.,"=""0.06719%""","$412,448","2,604.00"
Dow Inc.,"=""0.06714%""","$412,160","10,038.00"
Anglo American plc,"=""0.06711%""","$411,962","16,783.00"
Synopsys Inc.,"=""0.06705%""","$411,589","2,066.00"
Verisk Analytics Inc. Class A,"=""0.06696%""","$411,010","2,178.00"
Cadence Design Systems Inc.,"=""0.06690%""","$410,671","3,759.00"
WEC Energy Group Inc.,"=""0.06651%""","$408,284","4,286.00"
Franco-Nevada Corp.,"=""0.06642%""","$407,741","2,551.00"
Agilent Technologies Inc.,"=""0.06624%""","$406,609","4,221.00"
Walgreens Boots Alliance Inc.,"=""0.06563%""","$402,866","9,896.00"
Allstate Corp.,"=""0.06560%""","$402,668","4,266.00"
Clorox Co.,"=""0.06558%""","$402,540","1,702.00"
ITOCHU Corp.,"=""0.06556%""","$402,440","18,500.00"
TE Connectivity Ltd.,"=""0.06550%""","$402,062","4,514.00"
ResMed Inc.,"=""0.06525%""","$400,565","1,978.00"
Monster Beverage Corp.,"=""0.06504%""","$399,228","5,087.00"
MetLife Inc.,"=""0.06492%""","$398,485","10,528.00"
PACCAR Inc.,"=""0.06489%""","$398,345","4,682.00"
Astellas Pharma Inc.,"=""0.06483%""","$397,948","25,500.00"
Bank of New York Mellon Corp.,"=""0.06429%""","$394,637","11,008.00"
Chugai Pharmaceutical Co. Ltd.,"=""0.06421%""","$394,181","8,800.00"
Capital One Financial Corp.,"=""0.06414%""","$393,710","6,171.00"
Johnson Controls International plc,"=""0.06413%""","$393,689","10,231.00"
Alimentation Couche-Tard Inc. Class B,"=""0.06402%""","$393,008","11,309.00"
Nippon Telegraph & Telephone Corp.,"=""0.06400%""","$392,883","17,000.00"
CRH plc,"=""0.06397%""","$392,661","10,816.00"
Constellation Brands Inc. Class A,"=""0.06352%""","$389,902","2,188.00"
Travelers Cos. Inc.,"=""0.06352%""","$389,943","3,408.00"
Cummins Inc.,"=""0.06334%""","$388,839","2,012.00"
AutoZone Inc.,"=""0.06334%""","$388,789",322.00
Intesa Sanpaolo SPA (Registered),"=""0.06319%""","$387,879","192,137.00"
Macquarie Group Ltd.,"=""0.06309%""","$387,277","4,373.00"
Twitter Inc.,"=""0.06290%""","$386,095","10,607.00"
American International Group Inc.,"=""0.06257%""","$384,073","11,950.00"
Public Service Enterprise Group Inc.,"=""0.06236%""","$382,797","6,843.00"
Alcon Inc.,"=""0.06213%""","$381,378","6,308.00"
Industria de Diseno Textil SA,"=""0.06186%""","$379,716","14,259.00"
